,M_Sign,F_Sign,p_hat,p-value
0,Leo,Leo,0.0546448087431694,0.8674
1,Leo,Aquarius,0.04419889502762431,0.7451
2,Leo,Sagittarius,0.041884816753926704,0.6335
3,Leo,Scorpio,0.0650887573964497,0.4868
4,Leo,Pisces,0.07894736842105263,0.1013
5,Leo,Capricorn,0.06521739130434782,0.512
6,Leo,Taurus,0.07894736842105263,0.0985
7,Leo,Libra,0.0546448087431694,0.863
8,Leo,Gemini,0.03349282296650718,0.2804
9,Leo,Virgo,0.03414634146341464,0.2702
10,Leo,Aries,0.060240963855421686,0.7257
11,Leo,Cancer,0.04046242774566474,0.6012
12,Aquarius,Leo,0.0625,0.6031
13,Aquarius,Aquarius,0.06557377049180328,0.392
14,Aquarius,Sagittarius,0.023668639053254437,0.1173
15,Aquarius,Scorpio,0.07575757575757576,0.2296
16,Aquarius,Pisces,0.03508771929824561,0.3856
17,Aquarius,Capricorn,0.05747126436781609,0.8621
18,Aquarius,Taurus,0.048484848484848485,0.8676
19,Aquarius,Libra,0.025510204081632654,0.1013
20,Aquarius,Gemini,0.07947019867549669,0.1386
21,Aquarius,Virgo,0.03389830508474576,0.3088
22,Aquarius,Aries,0.0547945205479452,1.0
23,Aquarius,Cancer,0.07647058823529412,0.1612
24,Sagittarius,Leo,0.055900621118012424,0.862
25,Sagittarius,Aquarius,0.04861111111111111,1.0
26,Sagittarius,Sagittarius,0.06060606060606061,0.727
27,Sagittarius,Scorpio,0.06451612903225806,0.6002
28,Sagittarius,Pisces,0.05161290322580645,1.0
29,Sagittarius,Capricorn,0.057971014492753624,0.8549
30,Sagittarius,Taurus,0.03977272727272727,0.5071
31,Sagittarius,Libra,0.0625,0.6111
32,Sagittarius,Gemini,0.0379746835443038,0.4797
33,Sagittarius,Virgo,0.0650887573964497,0.4886
34,Sagittarius,Aries,0.06666666666666667,0.4897
35,Sagittarius,Cancer,0.044444444444444446,0.7343
36,Scorpio,Leo,0.06857142857142857,0.3943
37,Scorpio,Aquarius,0.045714285714285714,0.7456
38,Scorpio,Sagittarius,0.0335195530726257,0.314
39,Scorpio,Scorpio,0.07857142857142857,0.1734
40,Scorpio,Pisces,0.07738095238095238,0.162
41,Scorpio,Capricorn,0.05128205128205128,1.0
42,Scorpio,Taurus,0.08,0.1233
43,Scorpio,Libra,0.050314465408805034,1.0
44,Scorpio,Gemini,0.047058823529411764,0.8648
45,Scorpio,Virgo,0.03773584905660377,0.4734
46,Scorpio,Aries,0.04419889502762431,0.7348
47,Scorpio,Cancer,0.0625,0.5899
48,Pisces,Leo,0.07317073170731707,0.2813
49,Pisces,Aquarius,0.08383233532934131,0.0757
50,Pisces,Sagittarius,0.03571428571428571,0.397
51,Pisces,Scorpio,0.06748466257668712,0.3723
52,Pisces,Pisces,0.062111801242236024,0.5872
53,Pisces,Capricorn,0.042682926829268296,0.6102
54,Pisces,Taurus,0.03723404255319149,0.4049
55,Pisces,Libra,0.04430379746835443,0.7272
56,Pisces,Gemini,0.05319148936170213,1.0
57,Pisces,Virgo,0.055248618784530384,0.864
58,Pisces,Aries,0.046242774566473986,0.8715
59,Pisces,Cancer,0.03296703296703297,0.3107
60,Capricorn,Leo,0.04591836734693878,0.761
61,Capricorn,Aquarius,0.07741935483870968,0.1967
62,Capricorn,Sagittarius,0.08275862068965517,0.1205
63,Capricorn,Scorpio,0.03164556962025317,0.282
64,Capricorn,Pisces,0.026490066225165563,0.1993
65,Capricorn,Capricorn,0.046357615894039736,0.8598
66,Capricorn,Taurus,0.03614457831325301,0.3915
67,Capricorn,Libra,0.03896103896103896,0.5992
68,Capricorn,Gemini,0.08235294117647059,0.087
69,Capricorn,Virgo,0.024844720496894408,0.1546
70,Capricorn,Aries,0.05223880597014925,1.0
71,Capricorn,Cancer,0.03496503496503497,0.4512
72,Taurus,Leo,0.05202312138728324,1.0
73,Taurus,Aquarius,0.0379746835443038,0.4774
74,Taurus,Sagittarius,0.07734806629834254,0.1203
75,Taurus,Scorpio,0.010416666666666666,0.0138
76,Taurus,Pisces,0.06172839506172839,0.589
77,Taurus,Capricorn,0.04242424242424243,0.6168
78,Taurus,Taurus,0.06965174129353234,0.253
79,Taurus,Libra,0.05847953216374269,0.7285
80,Taurus,Gemini,0.04794520547945205,0.8603
81,Taurus,Virgo,0.06842105263157895,0.3277
82,Taurus,Aries,0.04242424242424243,0.6128
83,Taurus,Cancer,0.07017543859649122,0.2994
84,Libra,Leo,0.03614457831325301,0.3902
85,Libra,Aquarius,0.054945054945054944,0.8626
86,Libra,Sagittarius,0.07643312101910828,0.2051
87,Libra,Scorpio,0.05945945945945946,0.7445
88,Libra,Pisces,0.02027027027027027,0.0937
89,Libra,Capricorn,0.041916167664670656,0.6026
90,Libra,Taurus,0.03333333333333333,0.3137
91,Libra,Libra,0.06172839506172839,0.5902
92,Libra,Gemini,0.040697674418604654,0.6054
93,Libra,Virgo,0.04326923076923077,0.6343
94,Libra,Aries,0.022222222222222223,0.088
95,Libra,Cancer,0.05714285714285714,0.8654
96,Gemini,Leo,0.06779661016949153,0.3915
97,Gemini,Aquarius,0.08383233532934131,0.08
98,Gemini,Sagittarius,0.030927835051546393,0.1981
99,Gemini,Scorpio,0.08465608465608465,0.0488
100,Gemini,Pisces,0.05649717514124294,0.8608
101,Gemini,Capricorn,0.04938271604938271,1.0
102,Gemini,Taurus,0.07065217391304347,0.3159
103,Gemini,Libra,0.0374331550802139,0.4053
104,Gemini,Gemini,0.03723404255319149,0.4008
105,Gemini,Virgo,0.024752475247524754,0.1042
106,Gemini,Aries,0.034482758620689655,0.3096
107,Gemini,Cancer,0.0223463687150838,0.0861
108,Virgo,Leo,0.0861244019138756,0.0303
109,Virgo,Aquarius,0.034482758620689655,0.3603
110,Virgo,Sagittarius,0.04371584699453552,0.7424
111,Virgo,Scorpio,0.07692307692307693,0.141
112,Virgo,Pisces,0.0625,0.5935
113,Virgo,Capricorn,0.04487179487179487,0.7228
114,Virgo,Taurus,0.060240963855421686,0.7297
115,Virgo,Libra,0.08064516129032258,0.0915
116,Virgo,Gemini,0.04854368932038835,0.8769
117,Virgo,Virgo,0.05521472392638037,0.8581
118,Virgo,Aries,0.04142011834319527,0.6009
119,Virgo,Cancer,0.05759162303664921,0.7381
120,Aries,Leo,0.05,1.0
121,Aries,Aquarius,0.045454545454545456,0.8556
122,Aries,Sagittarius,0.05,1.0
123,Aries,Scorpio,0.028368794326241134,0.2587
124,Aries,Pisces,0.039735099337748346,0.5849
125,Aries,Capricorn,0.0273224043715847,0.1925
126,Aries,Taurus,0.033707865168539325,0.3124
127,Aries,Libra,0.052941176470588235,1.0
128,Aries,Gemini,0.047058823529411764,0.8647
129,Aries,Virgo,0.02577319587628866,0.1024
130,Aries,Aries,0.057692307692307696,0.8433
131,Aries,Cancer,0.040697674418604654,0.6019
132,Cancer,Leo,0.0782122905027933,0.1211
133,Cancer,Aquarius,0.08163265306122448,0.0737
134,Cancer,Sagittarius,0.04938271604938271,1.0
135,Cancer,Scorpio,0.03164556962025317,0.2818
136,Cancer,Pisces,0.065,0.4313
137,Cancer,Capricorn,0.04819277108433735,0.8686
138,Cancer,Taurus,0.04395604395604396,0.737
139,Cancer,Libra,0.03910614525139665,0.4988
140,Cancer,Gemini,0.037037037037037035,0.4142
141,Cancer,Virgo,0.05714285714285714,0.8613
142,Cancer,Aries,0.047058823529411764,0.866
143,Cancer,Cancer,0.07772020725388601,0.1352
